samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
100,1,10,250,bonf,pearson,mag,0.5,"0.0834 (0.0759, 0.0914)",0.0914,0.0759,4.65E-09,6.250804637,0.0834
100,1,10,250,bonf,pearson,mag,0.8,"0.0502 (0.0443, 0.0566)",0.0566,0.0443,4.99E-07,7.813300335,0.0502
100,1,10,250,bonf,pearson,mag,0,"0.1158 (0.107, 0.125)",0.125,0.107,5.31E-07,6.568454496,0.1158
100,1,10,250,pbotlp,pearson,mag,0.5,"0.0719 (0.0649, 0.0794)",0.0794,0.0649,0,1,0.0719
100,1,10,250,pbotlp,pearson,mag,0.8,"0.0718 (0.0648, 0.0793)",0.0793,0.0648,0,1,0.0718
100,1,10,250,pbotlp,pearson,mag,0,"0.0768 (0.0696, 0.0845)",0.0845,0.0696,0,1,0.0768
100,1,10,250,lp,pearson,mag,0.5,"0.0513 (0.0454, 0.0578)",0.0578,0.0454,0,1,0.0513
100,1,10,250,lp,pearson,mag,0.8,"0.0542 (0.0482, 0.0607)",0.0607,0.0482,0,1,0.0542
100,1,10,250,lp,pearson,mag,0,"0.0576 (0.0513, 0.0644)",0.0644,0.0513,0,1,0.0576
100,1,100,250,bonf,pearson,mag,0.5,"0.1109 (0.1024, 0.1199)",0.1199,0.1024,1.04E-08,19.33598218,0.1109
100,1,100,250,bonf,pearson,mag,0.8,"0.0436 (0.0381, 0.0496)",0.0496,0.0381,2.03E-07,48.11320079,0.0436
100,1,100,250,bonf,pearson,mag,0,"0.208 (0.1969, 0.2195)",0.2195,0.1969,1.82E-08,7.096935306,0.208
100,1,100,250,pbotlp,pearson,mag,0.5,"0.0643 (0.0577, 0.0714)",0.0714,0.0577,0,0.976,0.0643
100,1,100,250,pbotlp,pearson,mag,0.8,"0.072 (0.065, 0.0794)",0.0794,0.065,0,0.996,0.072
100,1,100,250,pbotlp,pearson,mag,0,"0.0513 (0.0454, 0.0577)",0.0577,0.0454,0,0.992,0.0513
100,1,100,250,lp,pearson,mag,0.5,"0.05 (0.0441, 0.0564)",0.0564,0.0441,0,1,0.05
100,1,100,250,lp,pearson,mag,0.8,"0.0545 (0.0484, 0.0612)",0.0612,0.0484,0,1,0.0545
100,1,100,250,lp,pearson,mag,0,"0.0553 (0.0492, 0.062)",0.062,0.0492,0,1,0.0553
100,1,50,250,bonf,pearson,mag,0.5,"0.0974 (0.0893, 0.106)",0.106,0.0893,4.48E-07,15.53492249,0.0974
100,1,50,250,bonf,pearson,mag,0.8,"0.0482 (0.0424, 0.0545)",0.0545,0.0424,1.22E-05,25.21431976,0.0482
100,1,50,250,bonf,pearson,mag,0,"0.182 (0.1715, 0.1929)",0.1929,0.1715,7.54E-09,8.334065563,0.182
100,1,50,250,pbotlp,pearson,mag,0.5,"0.0625 (0.056, 0.0696)",0.0696,0.056,0,1,0.0625
100,1,50,250,pbotlp,pearson,mag,0.8,"0.0724 (0.0653, 0.0799)",0.0799,0.0653,0,1,0.0724
100,1,50,250,pbotlp,pearson,mag,0,"0.0712 (0.0643, 0.0787)",0.0787,0.0643,0,0.992,0.0712
100,1,50,250,lp,pearson,mag,0.5,"0.049 (0.0431, 0.0553)",0.0553,0.0431,0,1,0.049
100,1,50,250,lp,pearson,mag,0.8,"0.0583 (0.052, 0.0651)",0.0651,0.052,0,1,0.0583
100,1,50,250,lp,pearson,mag,0,"0.051 (0.0451, 0.0575)",0.0575,0.0451,0,1,0.051
100,2,10,250,bonf,pearson,mag,0.5,"0.5506 (0.5367, 0.5645)",0.5645,0.5367,0,6.057593879,0.5506
100,2,10,250,bonf,pearson,mag,0.8,"0.572 (0.5581, 0.5858)",0.5858,0.5581,0,6.428743511,0.572
100,2,10,250,bonf,pearson,mag,0,"0.5046 (0.4907, 0.5185)",0.5185,0.4907,3.33E-14,4.817048432,0.5046
100,2,10,250,pbotlp,pearson,mag,0.5,"0.533 (0.5192, 0.5469)",0.5469,0.5192,0,1,0.533
100,2,10,250,pbotlp,pearson,mag,0.8,"0.6326 (0.6191, 0.646)",0.646,0.6191,0,1,0.6326
100,2,10,250,pbotlp,pearson,mag,0,"0.3884 (0.3749, 0.4021)",0.4021,0.3749,0,0.996,0.3884
100,2,10,250,lp,pearson,mag,0.5,"0.4613 (0.4474, 0.4752)",0.4752,0.4474,0,1,0.4613
100,2,10,250,lp,pearson,mag,0.8,"0.574 (0.5603, 0.5877)",0.5877,0.5603,0,1,0.574
100,2,10,250,lp,pearson,mag,0,"0.3168 (0.3039, 0.3299)",0.3299,0.3039,0,0.996,0.3168
100,2,100,250,bonf,pearson,mag,0.5,"0.5176 (0.5036, 0.5315)",0.5315,0.5036,0,14.13109044,0.5176
100,2,100,250,bonf,pearson,mag,0.8,"0.507 (0.493, 0.521)",0.521,0.493,0,40.52033603,0.507
100,2,100,250,bonf,pearson,mag,0,"0.4024 (0.3889, 0.416)",0.416,0.3889,0,5.338032906,0.4024
100,2,100,250,pbotlp,pearson,mag,0.5,"0.46 (0.4462, 0.4739)",0.4739,0.4462,0,0.972,0.46
100,2,100,250,pbotlp,pearson,mag,0.8,"0.6237 (0.6101, 0.637)",0.637,0.6101,0,0.972,0.6237
100,2,100,250,pbotlp,pearson,mag,0,"0.1072 (0.0988, 0.116)",0.116,0.0988,0,0.896,0.1072
100,2,100,250,lp,pearson,mag,0.5,"0.3934 (0.3798, 0.4071)",0.4071,0.3798,0,1,0.3934
100,2,100,250,lp,pearson,mag,0.8,"0.565 (0.5512, 0.5788)",0.5788,0.5512,0,0.996,0.565
100,2,100,250,lp,pearson,mag,0,"0.0994 (0.0912, 0.108)",0.108,0.0912,0,1,0.0994
100,2,50,250,bonf,pearson,mag,0.5,"0.5212 (0.5072, 0.5351)",0.5351,0.5072,0,11.61902288,0.5212
100,2,50,250,bonf,pearson,mag,0.8,"0.5306 (0.5167, 0.5445)",0.5445,0.5167,0,20.28719303,0.5306
100,2,50,250,bonf,pearson,mag,0,"0.4012 (0.3876, 0.4149)",0.4149,0.3876,3.22E-13,6.121172645,0.4012
