samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
100,1,10,250,bonf,DE2,mag,0.5,"0.0526 (0.0466, 0.0592)",0.0592,0.0466,1.93E-09,6.063165135,0.0526
100,1,10,250,l2,DE2,mag,0.5,"0.058 (0.0517, 0.0648)",0.0648,0.0517,0,1,0.058
100,1,10,250,lp,DE2,mag,0.5,"0.0596 (0.0532, 0.0665)",0.0665,0.0532,0,1,0.0596
100,1,10,250,max,DE2,mag,0.5,"0.0628 (0.0562, 0.0699)",0.0699,0.0562,0,1,0.0628
100,1,10,250,ssq,DE2,mag,0.5,"0.06 (0.0536, 0.0669)",0.0669,0.0536,0,1,0.06
100,1,100,250,bonf,DE2,mag,0.5,"0.0596 (0.0532, 0.0665)",0.0665,0.0532,5.08E-09,28.3354308,0.0596
100,1,100,250,l2,DE2,mag,0.5,"0.0634 (0.0568, 0.0705)",0.0705,0.0568,0,1,0.0634
100,1,100,250,lp,DE2,mag,0.5,"0.0644 (0.0578, 0.0716)",0.0716,0.0578,0,1,0.0644
100,1,100,250,max,DE2,mag,0.5,"0.0788 (0.0715, 0.0866)",0.0866,0.0715,0,1,0.0788
100,1,100,250,ssq,DE2,mag,0.5,"0.0676 (0.0608, 0.0749)",0.0749,0.0608,0,1,0.0676
100,1,50,250,bonf,DE2,mag,0.5,"0.0578 (0.0515, 0.0646)",0.0646,0.0515,2.76E-09,18.64131148,0.0578
100,1,50,250,l2,DE2,mag,0.5,"0.0626 (0.056, 0.0697)",0.0697,0.056,0,1,0.0626
100,1,50,250,lp,DE2,mag,0.5,"0.068 (0.0612, 0.0753)",0.0753,0.0612,0,1,0.068
100,1,50,250,max,DE2,mag,0.5,"0.0696 (0.0627, 0.077)",0.077,0.0627,0,1,0.0696
100,1,50,250,ssq,DE2,mag,0.5,"0.0696 (0.0627, 0.077)",0.077,0.0627,0,1,0.0696
100,2,10,250,bonf,DE2,mag,0.5,"0.3392 (0.3261, 0.3525)",0.3525,0.3261,3.31E-13,5.202304831,0.3392
100,2,10,250,l2,DE2,mag,0.5,"0.3716 (0.3582, 0.3852)",0.3852,0.3582,0,1,0.3716
100,2,10,250,lp,DE2,mag,0.5,"0.3744 (0.361, 0.388)",0.388,0.361,0,1,0.3744
100,2,10,250,max,DE2,mag,0.5,"0.3386 (0.3255, 0.3519)",0.3519,0.3255,0,1,0.3386
100,2,10,250,ssq,DE2,mag,0.5,"0.3772 (0.3637, 0.3908)",0.3908,0.3637,0,1,0.3772
100,2,100,250,bonf,DE2,mag,0.5,"0.2544 (0.2424, 0.2667)",0.2667,0.2424,0,38.11002969,0.2544
100,2,100,250,l2,DE2,mag,0.5,"0.3398 (0.3267, 0.3531)",0.3531,0.3267,0,1,0.3398
100,2,100,250,lp,DE2,mag,0.5,"0.3392 (0.3261, 0.3525)",0.3525,0.3261,0,1,0.3392
100,2,100,250,max,DE2,mag,0.5,"0.2734 (0.2611, 0.286)",0.286,0.2611,0,1,0.2734
100,2,100,250,ssq,DE2,mag,0.5,"0.3324 (0.3193, 0.3457)",0.3457,0.3193,0,1,0.3324
100,2,50,250,bonf,DE2,mag,0.5,"0.2694 (0.2571, 0.2819)",0.2819,0.2571,0,16.50992209,0.2694
100,2,50,250,l2,DE2,mag,0.5,"0.3472 (0.334, 0.3606)",0.3606,0.334,0,1,0.3472
100,2,50,250,lp,DE2,mag,0.5,"0.3596 (0.3463, 0.3731)",0.3731,0.3463,0,1,0.3596
100,2,50,250,max,DE2,mag,0.5,"0.2932 (0.2806, 0.306)",0.306,0.2806,0,1,0.2932
100,2,50,250,ssq,DE2,mag,0.5,"0.352 (0.3388, 0.3654)",0.3654,0.3388,0,1,0.352
100,3,10,250,bonf,DE2,mag,0.5,"0.1472 (0.1375, 0.1573)",0.1573,0.1375,2.09E-13,6.028260294,0.1472
100,3,10,250,l2,DE2,mag,0.5,"0.1442 (0.1346, 0.1542)",0.1542,0.1346,0,0.996,0.1442
100,3,10,250,lp,DE2,mag,0.5,"0.1624 (0.1523, 0.1729)",0.1729,0.1523,0,0.996,0.1624
100,3,10,250,max,DE2,mag,0.5,"0.19 (0.1792, 0.2012)",0.2012,0.1792,0,0.996,0.19
