"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
100,1,10,300,"bonf","DE3JN","mag",0.5,"0.0432 (0.0375, 0.0495)",0.0495,0.0375,0.00092296638271705,6.35323540704351,0.0432
100,1,10,300,"l2","DE3JN","mag",0.5,"0.066 (0.0593, 0.0732)",0.0732,0.0593,0,1,0.066
100,1,10,300,"lp","DE3JN","mag",0.5,"0.0746 (0.0675, 0.0822)",0.0822,0.0675,0,1,0.0746
100,1,10,300,"max","DE3JN","mag",0.5,"0.082 (0.0745, 0.09)",0.09,0.0745,0,1,0.082
100,1,10,300,"ssq","DE3JN","mag",0.5,"0.0733 (0.0662, 0.0809)",0.0809,0.0662,0,1,0.0733
100,1,100,300,"bonf","DE3JN","mag",0.5,"0.0294 (0.0249, 0.0345)",0.0345,0.0249,0.000236094883732108,20.4908996373284,0.0294
100,1,100,300,"l2","DE3JN","mag",0.5,"0.072 (0.065, 0.0795)",0.0795,0.065,0,0.988,0.072
100,1,100,300,"lp","DE3JN","mag",0.5,"0.1062 (0.0978, 0.1151)",0.1151,0.0978,0,0.984,0.1062
100,1,100,300,"max","DE3JN","mag",0.5,"0.1214 (0.1125, 0.1308)",0.1308,0.1125,0,1,0.1214
100,1,100,300,"ssq","DE3JN","mag",0.5,"0.117 (0.1082, 0.1263)",0.1263,0.1082,0,1,0.117
100,1,50,300,"bonf","DE3JN","mag",0.5,"0.031 (0.0264, 0.0362)",0.0362,0.0264,0.000738781331099947,13.187686923704,0.031
100,1,50,300,"l2","DE3JN","mag",0.5,"0.0744 (0.0673, 0.082)",0.082,0.0673,0,1,0.0744
100,1,50,300,"lp","DE3JN","mag",0.5,"0.0978 (0.0897, 0.1064)",0.1064,0.0897,0,1,0.0978
100,1,50,300,"max","DE3JN","mag",0.5,"0.105 (0.0966, 0.1138)",0.1138,0.0966,0,1,0.105
100,1,50,300,"ssq","DE3JN","mag",0.5,"0.1024 (0.0941, 0.1111)",0.1111,0.0941,0,1,0.1024
100,2,10,300,"bonf","DE3JN","mag",0.5,"0.353 (0.3397, 0.3664)",0.3664,0.3397,4.24995294512343e-07,5.56983470043638,0.353
100,2,10,300,"l2","DE3JN","mag",0.5,"0.4814 (0.4675, 0.4954)",0.4954,0.4675,0,1,0.4814
100,2,10,300,"lp","DE3JN","mag",0.5,"0.5168 (0.5028, 0.5307)",0.5307,0.5028,0,1,0.5168
100,2,10,300,"max","DE3JN","mag",0.5,"0.486 (0.4721, 0.5)",0.5,0.4721,0,1,0.486
100,2,10,300,"ssq","DE3JN","mag",0.5,"0.5185 (0.5046, 0.5325)",0.5325,0.5046,0,1,0.5185
100,2,100,300,"bonf","DE3JN","mag",0.5,"0.21 (0.1988, 0.2216)",0.2216,0.1988,1.15904472686168e-06,16.1220440637095,0.21
100,2,100,300,"l2","DE3JN","mag",0.5,"0.398 (0.3844, 0.4117)",0.4117,0.3844,0,0.952,0.398
